# ArrowInput TSV dictionary
# UTF-8 TSV: code	text	comment	weight	user_weight
kai	㚊	kai		
diao	㚋	diao		
hua	㚌	hua		
kui	㚍	kui		
gao	㚏	gao		
tao	㚐	tao		
shan	㚒	shan		
lai	㚓	lai		
nie	㚔	nie		
xing	㚔	xing		
fu	㚕	fu		
gao	㚖	gao		
ze	㚖	ze		
qie	㚗	qie		
ban	㚘	ban		
fu	㚘	fu		
he	㚘	he		
jia	㚙	jia		
kong	㚚	kong		
xi	㚛	xi		
xu	㚜	xu		
yu	㚜	yu		
zhui	㚝	zhui		
shen	㚞	shen		
chuo	㚟	chuo		
xiao	㚠	xiao		
ji	㚡	ji		
nu	㚢	nu		
wu	㚢	wu		
xiao	㚣	xiao		
yi	㚤	yi		
yu	㚥	yu		
yi	㚦	yi		
yan	㚧	yan		
shen	㚨	shen		
ran	㚩	ran		
hao	㚪	hao		
sa	㚫	sa		
jun	㚬	jun		
you	㚭	you		
xin	㚯	xin		
bi	㚰	bi		
qiu	㚱	qiu		
chan	㚲	chan		
dian	㚲	dian		
bu	㚴	bu		
dong	㚵	dong		
si	㚶	si		
yi	㚶	yi		
er	㚷	er		
miao	㚹	miao		
yun	㚺	yun		
ji	㚻	ji		
hao	㚼	hao		
qiao	㚽	qiao		
xiong	㚾	xiong		
pao	㚿	pao		
chu	㛀	chu		
peng	㛁	peng		
nuo	㛂	nuo		
jie	㛃	jie		
yi	㛄	yi		
er	㛅	er		
duo	㛆	duo		
duo	㛊	duo		
qie	㛍	qie		
xia	㛍	xia		
xian	㛍	xian		
lv	㛎	lv		
qiu	㛏	qiu		
sou	㛐	sou		
can	㛑	can		
dou	㛒	dou		
xi	㛓	xi		
feng	㛔	feng		
e	㛕	e		
yi	㛕	yi		
suo	㛖	suo		
qie	㛗	qie		
suo	㛗	suo		
zuo	㛗	zuo		
po	㛘	po		
qie	㛙	qie		
xin	㛙	xin		
tong	㛚	tong		
yong	㛚	yong		
xin	㛛	xin		
you	㛜	you		
bei	㛝	bei		
long	㛞	long		
huan	㛟	huan		
yun	㛣	yun		
li	㛤	li		
ta	㛥	ta		
lan	㛦	lan		
man	㛧	man		
qiang	㛨	qiang		
zhou	㛩	zhou		
yan	㛪	yan		
xi	㛫	xi		
lu	㛬	lu		
xi	㛭	xi		
sao	㛮	sao		
fan	㛯	fan		
mian	㛯	mian		
zhuan	㛯	zhuan		
wei	㛱	wei		
fa	㛲	fa		
yi	㛳	yi		
nao	㛴	nao		
cheng	㛵	cheng		
tan	㛶	tan		
ji	㛷	ji		
shu	㛸	shu		
pian	㛹	pian		
an	㛺	an		
kua	㛻	kua		
cha	㛼	cha		
sha	㛼	sha		
xian	㛾	xian		
zhi	㛿	zhi		
feng	㜂	feng		
lian	㜃	lian		
xun	㜄	xun		
xu	㜅	xu		
mi	㜆	mi		
hui	㜇	hui		
ye	㜇	ye		
mu	㜈	mu		
yong	㜉	yong		
zhan	㜊	zhan		
yi	㜋	yi		
gou	㜌	gou		
kou	㜌	kou		
nou	㜌	nou		
tang	㜍	tang		
xi	㜎	xi		
yun	㜏	yun		
shu	㜐	shu		
fu	㜑	fu		
yi	㜒	yi		
da	㜓	da		
lian	㜕	lian		
cao	㜖	cao		
can	㜗	can		
sen	㜗	sen		
cha	㜘	cha		
ju	㜘	ju		
qu	㜘	qu		
lu	㜙	lu		
su	㜚	su		
nen	㜛	nen		
ao	㜜	ao		
an	㜝	an		
yan	㜝	yan		
can	㜞	can		
qian	㜞	qian		
cui	㜠	cui		
cong	㜡	cong		
lv	㜢	lv		
shan	㜣	shan		
nian	㜤	nian		
tan	㜤	tan		
tian	㜤	tian		
mai	㜥	mai		
xin	㜦	xin		
yue	㜧	yue		
nai	㜨	nai		
ao	㜩	ao		
shen	㜪	shen		
ma	㜫	ma		
lan	㜮	lan		
xi	㜯	xi		
yue	㜰	yue		
zhi	㜱	zhi		
ying	㜲	ying		
huai	㜳	huai		
meng	㜴	meng		
niao	㜵	niao		
wan	㜶	wan		
mi	㜷	mi		
xian	㜷	xian		
nie	㜸	nie		
qu	㜹	qu		
zan	㜺	zan		
lian	㜻	lian		
zhi	㜼	zhi		
zi	㜽	zi		
hai	㜾	hai		
xu	㜿	xu		
hao	㝀	hao		
qiong	㝁	qiong		
xuan	㝁	xuan		
zhe	㝂	zhe		
zhi	㝂	zhi		
mian	㝃	mian		
wan	㝃	wan		
chun	㝄	chun		
gou	㝅	gou		
chun	㝇	chun		
luan	㝈	luan		
zhu	㝉	zhu		
